"id";"title";"author";"year";"isbn"
"828";"The Diviners";"Libba Bray";"2012";"031612611X"
"829";"Valley of the Dolls";"Jacqueline Susann";"1966";"0739418378"
"830";"Shatterglass";"Tamora Pierce";"2003";"059039696X"
"831";"Dawn";"Octavia E. Butler";"1987";"0446603775"
"832";"Boy Meets Girl";"Meg Cabot";"2004";"0330418874"
"833";"The Grand Sophy";"Georgette Heyer";"1950";"0099465639"
"834";"Mortal Coil";"Derek Landy";"2010";"0007325983"
"835";"Desperation";"Stephen King";"1996";"0451188462"
"836";"A Long Walk to Water";"Linda Sue Park";"2010";"0547251270"
"837";"Honor Among Enemies";"David Weber";"1996";"0671877836"
"838";"Heir of Novron";"Michael J. Sullivan";"2012";"0316187712"
"839";"The Copper Beech";"Maeve Binchy";"1992";"0752876813"
"840";"Forward the Foundation";"Isaac Asimov";"1993";"0553565079"
"841";"The Rumor";"Elin Hilderbrand";"2015";"0316334529"
"842";"Strong Poison";"Dorothy L. Sayers";"1930";"0060809086"
"843";"Gone for Good";"Harlan Coben";"2002";"0440236738"
"844";"Genesis";"Karin Slaughter";"2009";"0385341962"
"845";"Magic Bites";"Ilona Andrews";"2007";"0441014895"
"846";"Hatchet";"Gary Paulsen";"1986";"0689840926"
"847";"Dead and Gone";"Charlaine Harris";"2009";"0441017150"
"848";"Code Name Verity";"Elizabeth Wein";"2012";"1405258217"
"849";"Hourglass";"Myra McEntire";"2011";"1606841440"
"850";"Theft of Swords";"Michael J. Sullivan";"2011";"0316187747"
"851";"Dare Me";"Megan Abbott";"2012";"0316097772"
"852";"The Compound";"S.A. Bodeen";"2008";"0312370156"
"853";"The Sword Thief";"Peter Lerangis";"2009";"0545135702"
"854";"I Want My Hat Back";"Jon Klassen";"2011";"0763655988"
"855";"The Forgotten Garden";"Kate Morton";"2008";"0330449605"
"856";"Nine Stories";"J.D. Salinger";"1953";"0316767727"
"857";"Yes Please";"Amy Poehler";"2014";"0062268341"
"858";"Bel Canto";"Ann Patchett";"2001";"0060838728"
"859";"Blue Monday";"Nicci French";"2011";"0718154959"
"860";"Charmed Life ";"Diana Wynne Jones";"1977";"000710653X"
"861";"I Am Ozzy";"Ozzy Osbourne, Chris Ayres";"2009";"0446569895"
"862";"Devil Bones";"Kathy Reichs";"2008";"0743294386"
"863";"Driving Miss Daisy";"Alfred Uhry";"1986";"0930452895"
"864";"The Negotiator";"Dee Henderson";"2000";"1414310560"
"865";"The Perfect Hope";"Nora Roberts";"2012";"1455807044"
"866";"In the Lake of the Woods";"Tim O'Brien";"1994";"061870986X"
"867";"Trapped ";"Kevin Hearne";"2012";"034553364X"
"868";"Physik";"Angie Sage, Mark Zug";"2007";"0060577371"
"869";"Orlando: A Biography";"Virginia Woolf";"1928";"0141184272"
"870";"A Fire Upon The Deep";"Vernor Vinge";"1992";"0812515285"
"871";"Day After Night";"Anita Diamant";"2009";"0743299841"
"872";"The Help";"Kathryn Stockett";"2009";"0399155341"
"873";"Mercy Blade";"Faith Hunter";"2011";"0451463722"
"874";"Nightshade";"Andrea Cremer";"2010";"039925482X"
"875";"The Beach";"Alex Garland";"1996";"1573226521"
"876";"Private";"Kate Brian";"2006";"1416918736"
"877";"Calling Me Home";"Julie Kibler";"2012";"1250014522"
"878";"Counting by 7s";"Holly Goldberg Sloan";"2013";"0803738552"
"879";"Dear John";"Nicholas Sparks";"2006";"0446528056"
"880";"East of Eden  ";"John Steinbeck";"1952";"0142000655"
"881";"Faefever";"Karen Marie Moning";"2008";"0385341636"
"882";"Just Listen";"Sarah Dessen";"2006";"0670061050"
"883";"Housekeeping";"Marilynne Robinson";"1980";"0312424094"
"884";"Forest Mage";"Robin Hobb";"2006";"0060757639"
"885";"Cranford";"Elizabeth Gaskell";"1853";"0141439882"
"886";"First Rider's Call";"Kristen Britain";"2003";"0756401933"
"887";"Night over Water";"Ken Follett";"1991";"0451211472"
"888";"L.A. Candy";"Lauren Conrad";"2009";"0061767581"
"889";"Everyman";"Philip Roth";"2006";"0307277712"
"890";"Winter Moon";"Dean Koontz";"1993";"0553582933"
"891";"Kushiel's Justice";"Jacqueline Carey";"2007";"0446500038"
"892";"The Prisoner of Zenda";"Anthony Hope";"1894";"0140621318"
"893";"Jewels of the Sun";"Nora Roberts";"1999";"0515126772"
"894";"Briar's Book";"Tamora Pierce";"1999";"0590554115"
"895";"Dragon bound";"Thea Harrison";"2011";"0425241505"
"896";"The Enchanted Wood";"Enid Blyton";"1939";"0749748001"
"897";"How the Mind Works";"Steven Pinker";"1997";"0393318486"
"898";"The Giver";"Lois Lowry";"1993";"0385732554"
"899";"Executive Power";"Vince Flynn";"2003";"0743453964"
"900";"The Virgin's Lover";"Philippa Gregory";"2004";"0743269268"
"901";"Magic Binds";"Ilona Andrews";"2016";"0425270696"
"902";"Rumble Fish";"S.E. Hinton";"1975";"0440975344"
"903";"Gemeinsames Leben";"Dietrich Bonhoeffer";"1939";"0060608528"
"904";"The Stranger";"Harlan Coben";"2015";"0525953507"
"905";"Jewel (Oprah's Book Club) ";"Bret Lott";"1991";"0671042572"
"906";"Northern Lights";"Philip Pullman";"1995";"0679879242"
"907";"Deliverance";"James Dickey";"1970";"038531387X"
"908";"The Castaways";"Elin Hilderbrand";"2009";"0316043893"
"909";"The Birth House";"Ami McKay";"2006";"0676977731"
"910";"Fox in Socks";"Dr. Seuss";"1965";"0007158475"
"911";"I Shall Wear Midnight";"Terry Pratchett";"2010";"0385611072"
"912";"The Autumn Republic ";"Brian  McClellan";"2015";"0316219126"
"913";"Iced";"Karen Marie Moning";"2012";"0385344406"
"914";"Leaving Time";"Jodi Picoult";"2014";"0345544927"
"915";"The Moor's Last Sigh";"Salman Rushdie";"1995";"009959241X"
"916";"One";"Richard Bach";"1988";"0330311735"
"917";"Sieben Jahre in Tibet";"Heinrich Harrer";"1952";"0874778883"
"918";"Blackberry Winter";"Sarah Jio";"2012";"0452298385"
"919";"I Capture the Castle";"Dodie Smith";"1948";"0312181108"
"920";"The Ruby Circle";"Richelle Mead";"2015";"159514322X"
"921";"Taken";"Robert Crais";"2012";"0399158278"
"922";"Between, Georgia";"Joshilyn Jackson";"2006";"0446699454"
"923";"Shugo Chara! 1 (Shugo Chara!)";"Peach-Pit";"2006";"0345497457"
"924";"Kindred";"Octavia E. Butler";"1979";"0807083690"
"925";"Rumors";"Anna Godbersen";"2008";"0061345695"
"926";"Lover Revealed";"J.R. Ward";"2007";"0451412354"
"927";"Before I Fall";"Lauren Oliver";"2010";"0061726818"
"928";"Death on the Nile";"Agatha Christie";"1937";"0553119222"
"929";"Great Expectations";"Charles Dickens";"1860";"0192833596"
"930";"The Rescue";"Nicholas Sparks";"2000";"0446696129"
"931";"The Cradle Will Fall";"Mary Higgins Clark";"1980";"0743484274"
"932";"Relic";"Douglas Preston, Lincoln Child";"1995";"0765354942"
"933";"Fever";"Maya Banks";"2013";"0425267067"
"934";"The Odd Couple";"Neil Simon";"1965";"0573613311"
"935";"Caught";"Harlan Coben";"2010";"052595158X"
"936";"Getting Over It";"Anna Maxted";"2000";"006098824X"
"937";"The Hydrogen Sonata";"Iain M. Banks";"2012";"0356501507"
"938";"Matter";"Iain M. Banks";"2008";"1841494186"
"939";"Excession";"Iain M. Banks";"1996";"0553575376"
"940";"My Stroke of Insight";"Jill Bolte Taylor";"2006";"1430300612"
"941";"The Chosen One";"Carol Lynch Williams";"2009";"0312555113"
"942";"Robopocalypse";"Daniel H. Wilson";"2011";"0385533853"
"943";"The Island of Dr. Moreau";"H.G. Wells";"1896";"0553214322"
"944";"Matilda";"Roald Dahl, Quentin Blake";"1988";"0141301066"
"945";"Double Whammy";"Carl Hiaasen";"1987";"0446695661"
"946";"Black Swan Green";"David Mitchell";"2006";"0812974018"
"947";"Secrets of a Summer Night";"Lisa Kleypas";"2004";"0061259349"
"948";"Jitterbug Perfume";"Tom Robbins";"1984";"1842430351"
"949";"A Summer Affair";"Elin Hilderbrand";"2008";"0316018600"
"950";"The Book of Illusions";"Paul Auster";"2002";"0312990960"
"951";"Microserfs";"Douglas Coupland";"1995";"0060987049"
"952";"Home Front";"Kristin Hannah";"2012";"0312577206"
"953";"Exodus";"Leon Uris";"1958";"0553258478"
"954";"Nevermore";"Kelly Creagh";"2010";"1442402008"
"955";"A Faint Cold Fear";"Karin Slaughter";"2003";"0060534052"
"956";"The Unlikely Spy";"Daniel Silva";"1996";"0451209303"
"957";"Holding the Dream";"Nora Roberts";"1996";"0515142883"
"958";"How to Save a Life";"Sara Zarr";"2011";"0316036064"
"959";"The Walk";"Richard Paul Evans";"2010";"1439187312"
"960";"Luckiest Girl Alive";"Jessica Knoll";"2015";"1476789630"
"961";"Angle of Repose";"Wallace Stegner";"1971";"0140169300"
"962";"Double Star";"Robert A. Heinlein";"1956";"0345330137"
"963";"Brown Girl Dreaming";"Jacqueline Woodson";"2014";"0399252517"
"964";"Berlin: The Downfall 1945";"Antony Beevor";"1998";"0142002801"
"965";"Manwhore";"Katy Evans";"2015";"1501101536"
"966";"Hideaway";"Dean Koontz";"1992";"0425203891"
"967";"Prep";"Curtis Sittenfeld";"2005";"081297235X"
"968";"A World Without Heroes";"Brandon Mull";"2011";"141699792X"
"969";"Little Brother";"Cory Doctorow";"2008";"0765319853"
"970";"Absolute Power";"David Baldacci";"1995";"0330419641"
"971";"Texas";"James A. Michener";"1985";"0375761411"
"972";"Harvest ";"Tess Gerritsen";"1996";"067155302X"
"973";"Another Piece of My Heart";"Jane Green";"2012";"0312591829"
"974";"The Forsyte Saga";"John Galsworthy";"1921";"0192838628"
"975";"Treasure";"Clive Cussler";"1988";"0671704656"
"976";"Landline";"Rainbow Rowell";"2014";"1250049377"
"977";"Love & Misadventure";"Lang Leav";"2013";"0473235501"
"978";"I, Claudius";"Robert Graves";"1934";"067972477X"
"979";"How to Be a Woman";"Caitlin Moran";"2011";"0091940737"
"980";"Alien";"Alan Dean Foster";"1979";"2290011150"
"981";"The Summons";"John Grisham";"2002";"0385339593"
"982";"Kiss of Frost";"Jennifer Estep";"2011";"0758266944"
"983";"The General's Daughter";"Nelson DeMille";"1992";"0446364800"
"984";"Betty Crocker's Cookbook";"Betty Crocker";"1969";"0307098222"
"985";"Broken prince";"Erin Watt";"2016";"1682305031"
"986";"Going After Cacciato";"Tim O'Brien";"1978";"0767904427"
"987";"The Minority Report";"Philip K. Dick";"1956";"0375421874"
"988";"Immortal in Death ";"J.D. Robb";"1996";"0749934085"
"989";"Last Night in Twisted River";"John Irving";"2009";"1400063841"
"990";"Return";"Karen Kingsbury, Gary Smalley";"2003";"0842382895"
"991";"Deliver Us From Evil";"David Baldacci";"2010";"0446564087"
"992";"The Acid House";"Irvine Welsh";"1994";"0393312801"
"993";"Metro Girl";"Janet Evanovich";"2004";"0060584025"
"994";"The Messenger";"Daniel Silva";"2006";"0399153357"
"995";"Walking Disaster";"Jamie McGuire";"2013";"1476712980"
"996";"The Piano Teacher";"Janice Y.K. Lee";"2008";"0670020486"
"997";"The Pledge";"Kimberly Derting";"2011";"1442422017"
"998";"A Painted House";"John Grisham";"2001";"0385337930"
"999";"The Turn of the Screw";"Henry James";"1898";"0140620613"
"1000";"Kiss the Dead";"Laurell K. Hamilton";"2012";"0425247546"
"1001";"Deal Breaker";"Harlan Coben";"1995";"0385340605"
"1002";"The Hero of Ages";"Brandon Sanderson";"2008";"0765316897"
"1003";"Lipstick Jungle";"Candace Bushnell";"2005";"0786887079"
"1004";"Carry On, Jeeves";"P.G. Wodehouse";"1925";"1585673927"
"1005";"Queen of Sorcery";"David Eddings";"1982";"0345335651"
"1006";"Numbers";"Rachel Ward";"2008";"0545142997"
"1007";"The Gift";"Alison Croggon";"2002";"0763631620"
"1008";"Murder Must Advertise";"Dorothy L. Sayers";"1933";"0061043559"
"1009";"White Teeth";"Zadie Smith";"1999";"0375703861"
"1010";"Scrappy Little Nobody";"Anna Kendrick";"2016";"1501117203"
"1011";"The Invaders";"John Flanagan";"2012";"0399256202"
"1012";"All That Remains";"Patricia Cornwell";"1992";"0684193957"
"1013";"The Three Pigs";"David Wiesner";"2001";"0618007016"
"1014";"The Screaming Staircase";"Jonathan Stroud";"2013";"0857532014"
"1015";"The Peripheral";"William Gibson";"2014";"0399158448"
"1016";"For a Few Demons More ";"Kim Harrison";"2007";"0060788380"
"1017";"Girl, Interrupted";"Susanna Kaysen";"1993";"0679746048"
"1018";"The Sicilian";"Mario Puzo";"1984";"0345441702"
"1019";"Anathem";"Neal Stephenson";"2008";"0061474096"
"1020";"Splintered";"A.G. Howard";"2013";"1419704281"
"1021";"Fire Star";"Chris d'Lacey";"2005";"0439845823"
"1022";"Glory in Death";"J.D. Robb";"1995";"0425150984"
"1023";"City on Fire";"Garth Risk Hallberg";"2015";"0385353774"
"1024";"Midnight for Charlie Bone";"Jenny Nimmo";"2002";"0439474299"
"1025";"Tears of the Moon";"Nora Roberts";"1999";"0515128546"
"1026";"May We Be Forgiven";"A.M. Homes";"2012";"0670025488"
"1027";"Endless Summer";"Jennifer Echols";"2010";"1442406593"
"1028";"The Case for Christ";"Lee Strobel";"1988";"0310226058"
"1029";"The Secret Adversary";"Agatha Christie";"1922";"1600963943"
"1030";"Growing up Amish";"Ira Wagler";"2011";"1414339364"
"1031";"Waiting for the Barbarians";"J.M. Coetzee";"1980";"0140283358"
"1032";"Dragon Tears";"Dean Koontz";"1993";"0425208435"
"1033";"Body Movers ";"Stephanie Bond";"2006";"0778324826"
"1034";"Sandman Slim";"Richard Kadrey";"2009";"0061714305"
"1035";"Forest of Secrets";"Erin Hunter";"2003";"0060525614"
"1036";"The Thirty-Nine Steps";"John Buchan";"1915";"1419151126"
"1037";"Swindle";"Gordon Korman";"2008";"0439903440"
"1038";"The Carrie Diaries";"Candace Bushnell";"2010";"0061728918"
"1039";"Lean Mean Thirteen";"Janet Evanovich";"2007";"0312349491"
"1040";"Crown Duel ";"Sherwood Smith";"1997";"0142301515"
"1041";"Birds of America: Stories";"Lorrie Moore";"1998";"0312241224"
"1042";"The Monkey's Raincoat";"Robert Crais";"1987";"0752816993"
"1043";"Adam";"Ted Dekker";"2008";"1595540075"
"1044";"Feed";"Mira Grant";"2010";"0316081051"
"1045";"Aloha from Hell";"Richard Kadrey";"2011";"0061714321"
"1046";"The Final Warning";"James Patterson";"2008";"0316002860"
"1047";"Sworn to Silence";"Linda Castillo";"2009";"0312374976"
"1048";"Twilight";"Erin Hunter";"2006";"0060827645"
"1049";"The Handmaid's Tale";"Margaret Atwood";"1985";"038549081X"
"1050";"Go Set a Watchman";"Harper Lee";"2015";"0062409859"
"1051";"Homer's Odyssey ";"Gwen Cooper";"2009";"038534385X"
"1052";"The Clan of the Cave Bear";"Jean M. Auel";"1980";"0553381679"
"1053";"The Third Day, The Frost";"John Marsden";"1995";"0439829127"
"1054";"The Book of Three";"Lloyd Alexander";"1964";"0805080481"
"1055";"Master of the Senate";"Robert A. Caro";"2002";"0394720954"
"1056";"Patriot Games";"Tom Clancy";"1987";"0425134350"
"1057";"The Bronze Horseman";"Paullina Simons";"2001";"0006513220"
"1058";"You Suck ";"Christopher Moore";"2007";"0060590297"
"1059";"Sisters";"Raina Telgemeier";"2014";"0545540607"
"1060";"Flutter";"Amanda Hocking";"2010";"0557489563"
"1061";"The Secret Scripture";"Sebastian Barry";"2008";"0571215289"
"1062";"Tales of the City";"Armistead Maupin";"1978";"0552998761"
"1063";"The Last Detective";"Robert Crais";"2003";"0345451902"
"1064";"Sweet Evil";"Wendy Higgins";"2012";"0062085611"
"1065";"The Last Battle";"C.S. Lewis";"1956";"0007202326"
"1066";"K is for Killer";"Sue Grafton";"1994";"0449000664"
"1067";"Hot Water Music";"Charles Bukowski";"1983";"0876855966"
"1068";"Magic Steps";"Tamora Pierce";"2000";"0590396056"
"1069";"The Ipcress File";"Len Deighton";"1962";"0586026193"
"1070";"You";"Caroline Kepnes";"2014";"1476785597"
"1071";"Gilead";"Marilynne Robinson";"2004";"031242440X"
"1072";"Fever 1793";"Laurie Halse Anderson";"2000";"0689848919"
"1073";"Disappearing Acts";"Terry McMillan";"1989";"0451209133"
"1074";"Ilium";"Dan Simmons";"2003";"0380817926"
"1075";"Cinq semaines en ballon";"Jules Verne";"1863";"1421820609"
"1076";"The Kind Worth Killing";"Peter  Swanson";"2015";"0062267523"
"1077";"The Locket";"Richard Paul Evans";"1998";"0671004239"
"1078";"Commonwealth";"Ann Patchett";"2016";"0062491792"
"1079";"No Time for Goodbye";"Linwood Barclay";"2007";"055380555X"
"1080";"Sickened";"Julie Gregory";"2003";"0553803077"
"1081";"The Medusa Plot";"Gordon Korman";"2011";"0545324092"
"1082";"Demon Lord of Karanda";"David Eddings";"1988";"0345363310"
"1083";"The Book of Ruth";"Jane Hamilton";"1988";"0385265700"
"1084";"War and Remembrance";"Herman Wouk";"1978";"0316954993"
"1085";"Before They Are Hanged";"Joe Abercrombie";"2007";"0575077883"
"1086";"Carpe Jugulum";"Terry Pratchett";"1998";"0061051586"
"1087";"The Appeal";"John Grisham";"2008";"0385515049"
"1088";"Full Black";"Brad Thor";"2011";"141658661X"
"1089";"Four: The Transfer";"Veronica Roth";"2013";"0062285637"
"1090";"A Tale for the Time Being";"Ruth Ozeki";"2013";"0670026638"
"1091";"The Fixer Upper";"Mary Kay Andrews";"2009";"0060837381"
"1092";"The Good House";"Ann Leary";"2013";"1250015545"
"1093";"The Vampire Armand";"Anne Rice";"1998";"0345434803"
"1094";"The Death of Bunny Munro";"Nick Cave";"2009";"1847673767"
"1095";"I Was Here";"Gayle Forman";"2015";"0451471474"
"1096";"Longbourn";"Jo Baker";"2013";"0385351232"
"1097";"Time for Bed";"Mem Fox, Jane Dyer";"1993";"0152010661"
"1098";"Hoot";"Carl Hiaasen";"2002";"0440421705"
"1099";"Ask the Passengers";"A.S. King";"2012";"0316194689"
"1100";"Memory Man";"David Baldacci";"2015";"1455559822"
"1101";"Breath";"Tim Winton";"2008";"0374116342"
"1102";"The Gods of War";"Conn Iggulden";"2006";"044024160X"
"1103";"The Iron Queen";"Julie Kagawa";"2011";"0373210183"
"1104";"Scarlet";"Marissa Meyer";"2013";"0312642962"
"1105";"This is Water";"David Foster Wallace";"2009";"0316068225"
"1106";"The Executioner's Song";"Norman Mailer";"1979";"0375700811"
"1107";"The Blood of Olympus";"Rick Riordan";"2014";"1484724917"
"1108";"The Liars' Club: A Memoir";"Mary Karr";"1995";"0143035746"
"1109";"Say Goodbye";"Lisa Gardner";"2008";"0553804332"
"1110";"Auschwitz: A New History";"Laurence Rees";"2005";"158648303X"
"1111";"Mirror Mirror";"Gregory Maguire";"2003";"0060988657"
"1112";"Ladder of Years";"Anne Tyler";"1995";"0804113475"
"1113";"The Funhouse";"Owen  West, Dean Koontz";"1980";"0425142485"
"1114";"Paris to the Moon";"Adam Gopnik";"2000";"0375758232"
"1115";"Child of God";"Cormac McCarthy";"1973";"0679728740"
"1116";"Sapphique";"Catherine Fisher";"2000";"0340893613"
"1117";"Lightning";"Dean Koontz";"1988";"0425192032"
"1118";"Seduce Me at Sunrise";"Lisa Kleypas";"2008";"0312949812"
"1119";"S is for Silence";"Sue Grafton";"2005";"0425212696"
"1120";"Zomerhuis met zwembad";"Herman Koch";"2011";"0804138818"
"1121";"The Thirteenth Tale";"Diane Setterfield";"2006";"0743298020"
"1122";"The Wives of Henry VIII";"Antonia Fraser";"1992";"0140132937"
"1123";"Treasure Island";"Robert Louis Stevenson";"1882";"0753453800"
"1124";"The Eye of the World";"Robert Jordan";"1990";"0812511816"
"1125";"Bury Your Dead";"Louise Penny";"2010";"0312377045"
"1126";"Juliet, Naked";"Nick Hornby";"2009";"1594488878"
"1127";"Second Chance";"Jane Green";"2007";"0670038571"
"1128";"The Gatecrasher";"Madeleine Wickham";"1998";"0312361270"
"1129";"Crooked House";"Agatha Christie";"1949";"031298166X"
"1130";"Dance with the Devil";"Sherrilyn Kenyon";"2003";"0312984839"
"1131";"The Year of the Flood";"Margaret Atwood";"2009";"0385528779"
"1132";"Digging to America";"Anne Tyler";"2006";"0307263940"
"1133";"The Edge of Never";"J.A. Redmerski";"2012";"1480095532"
"1134";"The Fire Eternal";"Chris d'Lacey";"2007";"1846164257"
"1135";"Oh, the Places You'll Go!";"Dr. Seuss";"1990";"0679805273"
"1136";"Letter to My Daughter";"Maya Angelou";"2008";"1400066124"
"1137";"The Girls";"Lori Lansens";"2005";"0316066346"
"1138";"Eona: The Last Dragoneye";"Alison Goodman";"2011";"0670063118"
"1139";"The Scottish Prisoner";"Diana Gabaldon";"2011";"1409135195"
"1140";"Armor";"John Steakley";"1984";"0886773687"
"1141";"The Other Boleyn Girl";"Philippa Gregory";"2001";"0743227441"
"1142";"Stay Close";"Harlan Coben";"2012";"0525952276"
"1143";"The Last Templar";"Raymond Khoury";"2006";"0451219953"
"1144";"Sexing the Cherry";"Jeanette Winterson";"1989";"0802135781"
"1145";"Four Blind Mice";"James Patterson";"2002";"0747266921"
"1146";"Women Who Love Too Much";"Robin Norwood";"1985";"0671733419"
"1147";"Dissolution";"C.J. Sansom";"2003";"0330411969"
"1148";"The Gate Thief";"Orson Scott Card";"2013";"0765326582"
"1149";"Mountain of Black Glass";"Tad Williams";"1999";"0886779065"
"1150";"In Our Time";"Ernest Hemingway";"1925";"0684822761"
"1151";"Winter of the World";"Ken Follett";"2012";"0525952926"
"1152";"Ten Big Ones";"Janet Evanovich";"2004";"0312936222"
"1153";"Poison Study";"Maria V. Snyder";"2005";"0778324338"
"1154";"Outbreak";"Robin Cook";"1987";"042510687X"
"1155";"A Room of One's Own";"Virginia Woolf";"1929";"0141183535"
"1156";"National Velvet";"Enid Bagnold";"1935";"1405209496"
"1157";"Pastoralia";"George Saunders";"2000";"0747553866"
"1158";"The Fall of Five";"Pittacus Lore";"2013";"0061974618"
"1159";"Rise of the Elgen";"Richard Paul Evans";"2012";"1442454148"
"1160";"Eagle Strike";"Anthony Horowitz";"2003";"0142406139"
"1161";"That Summer";"Sarah Dessen";"1996";"0670061107"
"1162";"Sycamore Row";"John Grisham";"2013";"0385537131"
"1163";"Case Histories";"Kate Atkinson";"2004";"0316010707"
"1164";"Love Warrior";"Glennon Doyle Melton";"2016";"1250128544"
"1165";"Slash";"Slash, Anthony Bozza";"2007";"0061351423"
"1166";"Anastasia Krupnik";"Lois Lowry";"1978";"0553153382"
"1167";"The Commitments";"Roddy Doyle";"1987";"0749391685"
"1168";"North and South";"John Jakes";"1982";"0451200810"
"1169";"Curious George Rides a Bike";"H.A. Rey";"1952";"1844285073"
"1170";"There's a Wocket in My Pocket";"Dr. Seuss";"1974";"0007169957"
"1171";"Here on Earth ";"Alice Hoffman";"1997";"0425169693"
"1172";"The Prize";"Julie Garwood";"1991";"0671702513"
"1173";"American Wife";"Curtis Sittenfeld";"2008";"1400064759"
"1174";"A Hologram for the King";"Dave Eggers";"2012";"193636574X"
"1175";"Night Film";"Marisha Pessl";"2013";"140006788X"
"1176";"The Going-To-Bed Book";"Sandra Boynton";"1982";"0671449028"
"1177";"Extreme Measures";"Vince Flynn";"2008";"1416599398"
"1178";"Virgin";"James Patterson";"1980";"0446609404"
"1179";"The Goblin Emperor";"Katherine Addison";"2014";"076532699X"
"1180";"Oblivion";"David Foster Wallace";"2004";"0316010766"
"1181";"Eric";"Terry Pratchett";"1990";"0380821214"
"1182";"Echo Burning";"Lee Child";"2001";"0515133310"
"1183";"Lord Edgware Dies";"Agatha Christie";"1933";"0002314576"
"1184";"Heal Your Body";"Louise L. Hay";"1976";"0937611352"
"1185";"The Princess Diarist";"Carrie Fisher";"2016";"0399173595"
"1186";"When God Was a Rabbit";"Sarah Winman";"2011";"0755379284"
"1187";"Once We Were Brothers";"Ronald H. Balson";"2010";"1250046394"
"1188";"Caraval";"Stephanie Garber";"2017";"1250095255"
"1189";"Reunion in Death";"J.D. Robb";"2002";"0749934409"
"1190";"The Escape";"David Baldacci";"2014";"1455521191"
"1191";"Storm Born";"Richelle Mead";"2008";"1420100963"
"1192";"Night School";"Lee Child, Dick Hill";"2016";"0804192979"
"1193";"The Secret Life of Bees";"Sue Monk Kidd";"2001";"0142001740"
"1194";"Prisoner of my desire ";"Johanna Lindsey";"1991";"0380756277"
"1195";"The Angel of Darkness";"Caleb Carr";"1997";"0345427637"
"1196";"Bones Are Forever";"Kathy Reichs";"2012";"1439102430"
"1197";"Fledgling";"Octavia E. Butler";"2005";"0446696161"
"1198";"The Passenger";"Lisa Lutz";"2016";"1451686633"
"1199";"The Constant Princess";"Philippa Gregory";"2005";"0743272498"
"1200";"Superfudge";"Judy Blume";"1980";"0142408808"
"1201";"A Time to Kill";"John Grisham";"1989";"0385338600"
"1202";"Amy & Matthew";"Cammie McGovern";"2014";"0062271121"
"1203";"Peace Like a River";"Leif Enger";"2001";"0802139256"
"1204";"Simply Irresistible";"Rachel Gibson";"1998";"0380790076"
"1205";"Crazy For You";"Jennifer Crusie";"1999";"0312932812"
"1206";"The Boleyn Inheritance";"Philippa Gregory";"2006";"0743272501"
"1207";"Princess Academy";"Shannon Hale";"2005";"1599900734"
"1208";"The Perfect Play";"Jaci Burton";"2011";"0425238814"
"1209";"Bookends";"Jane Green";"2000";"0767907817"
"1210";"Lon Po Po";"Ed Young";"1989";"0399216197"
"1211";"The 19th Wife";"David Ebershoff";"2008";"1400063973"
"1212";"A Man in Full";"Tom Wolfe";"1998";"0553381334"
"1213";"Academ's Fury";"Jim Butcher";"2005";"0441013406"
"1214";"The Little Stranger";"Sarah Waters";"2009";"1594488800"
"1215";"Shiver";"Maggie Stiefvater";"2009";"0545123267"
"1216";"Eon";"Greg Bear";"1984";"0812520475"
"1217";"Noble House";"James Clavell";"1981";"0440164842"
"1218";"Scoop";"Evelyn Waugh";"1937";"0141187492"
"1219";"Fill-in boyfrined";"Kasie West";"2015";"006233638X"
"1220";"Post Office";"Charles Bukowski";"1971";"0876850867"
"1221";"Down Under";"Bill Bryson";"2000";"0767903862"
"1222";"The Golden Lily";"Richelle Mead";"2012";"1595143181"
"1223";"Rebel Belle";"Rachel Hawkins";"2014";"0399256938"
"1224";"Torn";"Amanda Hocking";"2010";"1250006325"
"1225";"Slammerkin";"Emma Donoghue";"2000";"0156007479"
"1226";"Jennifer Government";"Max Barry";"2002";"0349117624"
"1227";"Allegiant";"Veronica Roth";"2013";"0007524277"
"1228";"Mitosis";"Brandon Sanderson";"2013";"0449818438"
"1229";"Lucky Jim";"Kingsley Amis, David Lodge";"1954";"0140186301"
"1230";"One Summer";"David Baldacci";"2011";"0446583146"
"1231";"Hunger ";"Michael  Grant";"2009";"0061449067"
"1232";"A Work in Progress";"Connor Franta";"2015";"1476791619"
"1233";"Hate List";"Jennifer Brown";"2009";"0316041440"
"1234";"A Great and Terrible Beauty";"Libba Bray";"2003";"0689875347"
"1235";"Six of Crows";"Leigh Bardugo";"2015";"1627792120"
"1236";"The Crossing ";"Cormac McCarthy";"1994";"0394574753"
"1237";"Foundation and Empire";"Isaac Asimov";"1952";"0553803727"
"1238";"Gone with the Wind";"Margaret Mitchell";"1936";"0446675539"
"1239";"The Girl Next Door";"Jack Ketchum";"1989";"0843955430"
"1240";"Deep Six";"Clive Cussler";"1984";"1416516859"
"1241";"Elizabeth Street";"Laurie Fabiano";"2006";"1442152613"
"1242";"The Fall of Hyperion";"Dan Simmons";"1990";"0553288202"
"1243";"Uprooted";"Naomi Novik";"2015";"0804179034"
"1244";"The Secret History";"Donna Tartt";"1992";"1400031702"
"1245";"It's Not Summer Without You";"Jenny Han";"2010";"1416995552"
"1246";"Drei Kameraden";"Erich Maria Remarque";"1936";"0449912426"
"1247";"A Fistful of Charms";"Kim Harrison";"2006";"0060788194"
"1248";"Whitney, My Love";"Judith McNaught";"1985";"1416530711"
